<<<<<<< HEAD
20260108 ./CHANGELOG.txt created.
20260108 ./var/www/cjdns/hia/README.txt added.
20260108 ./var/www/cjdns/hia/HOWTO.txt added.
20260108 ./var/www/cjdns/hia/api/README.txt added.
20260108 ./var/www/cjdns/hia/api/api-update.sh added.
20260108 ./var/www/cjdns/hia/api/api-dump.sh added.
20260108 ./var/www/cjdns/hia/watchlist/clean.sh added.
20260108 ./var/www/cjdns/hia/watchlist/l.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-iplist.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-cifs.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-dns.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-ftp.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-ipfs.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-ak.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-titles.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-referer.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-stats.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-nfs.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-nodeinfo.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-proxy.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-ssh.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-ssl.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-ver.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-git.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-http-cjdradio.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-parse-nntp.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-scan-tcp.sh added.
20260108 ./var/www/cjdns/hia/watchlist/hia-scan-udp.sh added.
20260108 ./var/www/cjdns/hia/watchlist/pubk.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/l.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/top.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/walk.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/ver-d.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/walk2b.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/ver-m.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/counts.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/walk2c.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/v.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/walk2.sh added.
20260108 ./var/www/cjdns/hia/watchlist/walk/shame.sh added.
20260108 ./var/www/cjdns/hia/test/d3map/d3map.sh added.
20260108 ./var/www/cjdns/hia/test/d3map/d3.v3.min.js added.
=======
20160602 CHANGELOG.txt created.
20160602 ./api/README.txt added.
20160602 ./api/api-dump.sh added.
20160602 ./watchlist/hia-iplist.sh added.
20160604 ./HOWTO.txt added.
20160604 ./api/api-update.sh added.
20160604 ./HOWTO.txt updated.
20160604 ./HOWTO.txt updated.
20160604 ./README.txt updated.
20160606 ./watchlist/hia-scan-tcp.sh added.
20160606 ./watchlist/hia-scan-udp.sh added.
20160606 ./HOWTO.txt updated.
20160608 ./HOWTO.txt updated.
20160608 ./watchlist/hia-parse.sh added.
20160608 ./watchlist/hia-parse-cifs.sh added.
20160608 ./watchlist/hia-parse-cifs.sh updated.
20160608 ./watchlist/hia-parse-cifs.sh updated.
20160608 ./watchlist/hia-parse-cifs.sh updated.
20160608 ./watchlist/hia-parse-dns.sh added.
20160608 ./watchlist/hia-parse-ftp.sh added.
20160608 ./watchlist/hia-parse-http.sh added.
20160608 ./watchlist/hia-parse-nfs.sh added.
20160608 ./watchlist/hia-parse-nodeinfo.sh added.
20160608 ./watchlist/bithunt-submit.sh added.
20160608 ./watchlist/hia-parse-proxy.sh added.
20160608 ./watchlist/hia-parse-ssh.sh added.
20160608 ./watchlist/hia-parse-ssl.sh added.
20160608 ./watchlist/hia-parse-ssl.sh updated.
20160608 ./watchlist/hia-parse-ssl.sh updated.
20160608 ./watchlist/hia-parse-ver.sh added.
20160608 ./HOWTO.txt updated.
20160608 ./HOWTO.txt updated.
20160610 ./HOWTO.txt updated.
20160610 ./HOWTO.txt updated.
20160610 ./api/api-update.sh updated.
20160610 ./README.txt updated.
20160614 ./watchlist/hia-scan-tcp.sh updated.
20160614 ./watchlist/hia-scan-udp.sh updated.
20160618 ./README.txt updated.
20160618 ./README.txt updated.
